,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request
1231,98217727776,0,3.20177E+11,2,0,200,0,1836,2.97846E+11,"{'cpus': 0.00688934326171875, 'memory': 0.010894775390625}"
1232,7.23623E+11,1,3.46556E+11,1,0,103,0,9507,1.83155E+11,"{'cpus': 0.04119873046875, 'memory': 0.0104217529296875}"
1233,1.49495E+12,0,3.48792E+11,2,0,103,0,3633,1.59673E+11,"{'cpus': 0.00223541259765625, 'memory': 0.00032520294189453125}"
1234,1.35401E+12,0,1.22697E+11,1,0,200,0,1191,14671448640,"{'cpus': 0.013214111328125, 'memory': 0.00521087646484375}"
1235,4.0474E+11,3,3.79491E+11,1,0,103,0,4356,23749170584,"{'cpus': 0.002288818359375, 'memory': 0.004364013671875}"
1236,1.08456E+12,6,2.94471E+11,3,1,200,0,197,10367672093,"{'cpus': 0.06591796875, 'memory': 0.009765625}"
1237,1.08221E+12,5,7.81076E+11,2,0,360,6.98303E+11,895,13782326203,"{'cpus': 0.01513671875, 'memory': 0.0013027191162109375}"
1238,9.16997E+11,3,7.96037E+11,0,0,0,0,43470,2.25234E+11,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1239,1.2001E+12,3,25911621841,2,0,0,0,4695,28568162987,"{'cpus': 0.002178192138671875, 'memory': 0.0002613067626953125}"
1240,1.02643E+12,6,3.82939E+11,0,0,103,0,1068,1.04792E+11,"{'cpus': 0.008636474609375, 'memory': 0.001903533935546875}"
1241,1.61155E+11,2,7.10255E+11,1,0,103,0,12351,2.47453E+11,"{'cpus': 0.0066070556640625, 'memory': 0.00521087646484375}"
1242,1.45684E+12,6,7.55687E+11,0,0,105,0,8061,1.57764E+11,"{'cpus': 0.00662994384765625, 'memory': 0.00368499755859375}"
1243,5.72658E+11,6,4.61154E+11,1,0,103,0,42,16596047146,"{'cpus': 0.0081024169921875, 'memory': 0.0104217529296875}"
1244,1.49405E+12,6,3.8493E+11,0,0,105,0,1177,3.76026E+11,"{'cpus': 0.003696441650390625, 'memory': 0.00650787353515625}"
1245,2.15766E+12,2,2.96657E+11,0,0,0,0,27326,132586132,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1246,0,2,98503487818,1,0,200,98503482254,44,6339718,"{'cpus': 0.0, 'memory': 0.00016498565673828125}"
1247,4.72189E+11,3,4.59484E+11,1,0,103,0,881,91077518,"{'cpus': 0.002376556396484375, 'memory': 0.007843017578125}"
1248,0,2,4741149133,2,0,200,0,7220,2195712904,"{'cpus': 0.0014972686767578125, 'memory': 0.00033664703369140625}"
1249,7.23468E+11,2,7.81396E+11,2,0,360,6.98303E+11,2489,19504543382,"{'cpus': 0.011871337890625, 'memory': 0.0013027191162109375}"
1250,2.3581E+11,5,2.60726E+11,2,0,360,2.21495E+11,1010,52144038001,"{'cpus': 0.0091400146484375, 'memory': 0.0013027191162109375}"
1251,6.56451E+11,6,2.7747E+11,3,1,200,0,329,6864595147,"{'cpus': 0.00022411346435546875, 'memory': 0.0005674362182617188}"
1252,5.28761E+11,6,7.26683E+11,3,1,25,0,0,13235372126,"{'cpus': 0.00022029876708984375, 'memory': 0.00032520294189453125}"
1253,1.08031E+12,0,1.57857E+11,1,0,103,0,678,1.23137E+11,"{'cpus': 0.03466796875, 'memory': 0.1041259765625}"
1254,2.4322E+12,2,4.99905E+11,2,0,103,0,786,1.81575E+11,"{'cpus': 0.01214599609375, 'memory': 0.0076141357421875}"
1255,1.88967E+12,3,39516992187,2,0,0,0,9727,4459051196,"{'cpus': 0.002620697021484375, 'memory': 0.00017070770263671875}"
1256,1.49575E+12,3,39516992187,2,0,0,0,9585,1375616123,"{'cpus': 0.002239227294921875, 'memory': 0.00020885467529296875}"
1257,6.82764E+11,6,2.79241E+11,0,0,103,0,212,2.64487E+11,"{'cpus': 0.048583984375, 'memory': 0.0051422119140625}"
1258,2.00169E+12,3,14423004927,2,0,0,0,3421,32191621634,"{'cpus': 0.001171112060546875, 'memory': 0.00019550323486328125}"
